AΔN（エーデルターン）,http://concafenavi.com/adeltan/,店名,AΔN（エーデルターン）,ジャンル,N次元メイドカフェ&バー（コンセプトカフェ・コンカフェ）,TEL,"03-6271-7941
「コンカフェナビ」を見たと言うとスムーズです♪",住所,東京都千代田区外神田1-6-3　アキバあそび館3F,交通手段,秋葉原駅から徒歩4分　徒歩ルート（Google map）,営業時間,"平日　17:00～23:00
金土祝日前　17:00～翌5:00
日　12:00～23:00",定休日,—,予算,"1時間 800円（チャージ） / １ドリンク（600円～）
※おひとり様１ドリンク制となっております。",支払い方法,クレジットカード不可,席数,—,予約,—,貸切,不可,団体利用,不可,飲酒,可,禁煙・喫煙,—,駐車場,—,Wifi・無線LAN,—,外国語メニュー,—,利用シーン,—,サービス,—,ホームページ,https://www.adeltan.com/,公式Twitter,—,備考,—,クーポン,コンカフェナビ見たで「–」,内容,—,時給,—,採用条件,—,待遇,—,求人用連絡先,—
めいどりーみん 秋葉原 本店,http://concafenavi.com/maidreamin-honten/,店名,めいどりーみん 秋葉原 本店,ジャンル,メイドカフェ,TEL,"03-6905-7735
「コンカフェナビ」を見たと言うとスムーズです♪",住所,東京都千代田区外神田3-16-17　住吉ビル6階,交通手段,"JR各線「秋葉原駅」より徒歩5分　徒歩ルート（Google map）
東京メトロ銀座線「末広町駅」より徒歩1分　徒歩ルート（Google map）",営業時間,"月～金　　　11:30～23:00
土日・祝日　10:30～23:00",定休日,年中無休,予算,"1時間 500円 / 1オーダー
延長 500円 / 1オーダー",支払い方法,"クレジットカード可
銀聯カード利用可
電子決済「WeChatPay」「Alipay」「PayPay」がご利用頂けます。",席数,38席,予約,—,貸切,—,団体利用,—,飲酒,"もちろん飲めます。お酒を含め飲み放題は55種類から選べます。
シャンパンもワインなどもご用意しております。",禁煙・喫煙,不可,駐車場,—,Wifi・無線LAN,あり,外国語メニュー,—,ホームページ,https://maidreamin.com/shop/detail.html?id=1
アフィリア・アスタリスク,http://concafenavi.com/afilia-asterisk/,店名,アフィリア・アスタリスク,ジャンル,ガールズカフェ（コンセプトカフェ・コンカフェ）,TEL,"03-6380-4390
「コンカフェナビ」を見たと言うとスムーズです♪",住所,東京都新宿区新宿三丁目9-5　ゴールドビル4F,交通手段,"新宿駅より徒歩8分　徒歩ルート（Google map）
新宿三丁目駅より徒歩1分　徒歩ルート（Google map）",営業時間,"全日
17:00～5:00
(フードL.O. 4:00／ドリンクL.O. 4:30）",定休日,なし,予算,"1時間毎に1,100円（女性600円）のテーブルチャージ",支払い方法,クレジットカード可（VISA、MASTER、JCB、AMEX）,席数,13席,予約,予約不可,貸切,可,団体利用,—,飲酒,可,禁煙・喫煙,全面喫煙可,駐車場,無,Wifi・無線LAN,—,外国語メニュー,—,利用シーン,—,サービス,—,ホームページ,https://afilia.jp/shop/asterisk/,公式Twitter,—,備考,—,クーポン,コンカフェナビ見たで「–」,内容,—,時給,—,採用条件,—,待遇,—,求人用連絡先,"—
「コンカフェナビ」を見たと言うとスムーズです♪"
Klover（クローバー）,http://concafenavi.com/klover/,店名,Klover（クローバー）,ジャンル,メイドカフェ&バー（コンセプトカフェ・コンカフェ）,TEL,"042-527-0306
「コンカフェナビ」を見たと言うとスムーズです♪",住所,東京都立川市柴崎町3-4-8　稲葉ビル2F,交通手段,立川駅 から徒歩３分　徒歩ルート（Google map）,営業時間,"火〜金　18:00〜23:00
土・日　17:00〜23:00",定休日,月曜日,予算,"飲み放題　1set60分
男性　3,000円
女性　1,500円",支払い方法,—,席数,—,予約,—,貸切,—,団体利用,—,飲酒,可,禁煙・喫煙,—,駐車場,—,Wifi・無線LAN,—,外国語メニュー,—,利用シーン,—,サービス,—,ホームページ,https://klover.jp/,公式Twitter,https://twitter.com/maidcafeklover,備考,—,クーポン,コンカフェナビ見たで「–」,内容,—,時給,—,採用条件,—,待遇,—,求人用連絡先,—
Candleblum（キャンドレブラム）,http://concafenavi.com/candleblum/,店名,Candleblum（キャンドレブラム）,ジャンル,ゴシックメイドのコンセプトカフェ（コンカフェ）,TEL,"03-6457-3732
「コンカフェナビ」を見たと言うとスムーズです♪",住所,東京都新宿区歌舞伎町1丁目2-13　4F,交通手段,新宿駅 から徒歩７分　徒歩ルート（Google map）,営業時間,20時~23時 (L.O 22時30分),定休日,—,予算,"■チャージ
1時間 800円＋1ドリンク
女性　1時間　入場料無料
※1ドリンクご注文いただきます。
※延長の場合は延長料金＋1ドリンクいただきます。
■延長チャージ
30分 500円＋1ドリンク
1時間飲み放題　3,000円追加
※当店は、自動延長、1時間1ドリンク制です。
お客様管理でお願い致します。",支払い方法,—,席数,—,予約,—,貸切,可,団体利用,—,飲酒,可,禁煙・喫煙,—,駐車場,—,Wifi・無線LAN,—,外国語メニュー,—,利用シーン,—,サービス,—,ホームページ,https://candleblum.tokyo/,公式Twitter,https://twitter.com/__candleblum__,公式Instagram,https://www.instagram.com/__candleblum__/,備考,—,クーポン,コンカフェナビ見たで「–」,内容,—,時給,—,採用条件,—,待遇,—,求人用連絡先,—
グランドパイレーツ,http://concafenavi.com/grand-pirates/,店名,グランドパイレーツ,ジャンル,海賊メイド喫茶（コンセプトカフェ・コンカフェ）,TEL,"03-3525-4351
「コンカフェナビ」を見たと言うとスムーズです♪",住所,東京都千代田区外神田1-8-4　銭谷ビル地下1F,交通手段,秋葉原駅から徒歩4分　徒歩ルート（Google map）,営業時間,"月曜日～木曜日　１７：００～２３：００
金曜日　１７：００～翌５：００
土曜日　１２：００～翌５：００
日曜日　１２：００～２３：００
祝前日　１７：００～翌５：００",定休日,年中無休,予算,—,支払い方法,"クレジットカード可
（JCB、AMEX、Diners）",席数,15席（カウンター席あり）,予約,予約可,貸切,—,団体利用,—,飲酒,可,禁煙・喫煙,—,駐車場,—,Wifi・無線LAN,—,外国語メニュー,—,利用シーン,—,サービス,—,ホームページ,https://grand-pirates.jp/,公式Twitter,—,備考,—,クーポン,コンカフェナビ見たで「–」,内容,—,時給,—,採用条件,—,待遇,—,求人用連絡先,—
男装ヴァンパイアカフェ 秋葉城ドラキュラ,http://concafenavi.com/dracula-dansou/,店名,男装ヴァンパイアカフェ 秋葉城ドラキュラ,ジャンル,男装ヴァンパイアカフェ&バー（コンセプトカフェ・コンカフェ）,TEL,"070-4194-1382
「コンカフェナビ」を見たと言うとスムーズです♪",住所,東京都千代田区外神田4-6-10　旧リバティビル4F-Bフロア,交通手段,秋葉原駅 から徒歩6分　徒歩ルート（Google map）,営業時間,"平日　14:00～24:00
土日祝　12:00～24:00",定休日,年中無休,予算,—,支払い方法,—,席数,10席(カウンターのみ),予約,可,貸切,可,団体利用,可,飲酒,可,禁煙・喫煙,可,駐車場,—,Wifi・無線LAN,無し,外国語メニュー,あり,利用シーン,一緒にワイワイ楽しむ / 癒されたい / 男性向け / カップルでも楽しい / フード＆ドリンク / 個性的なサービス / 愛込め(おまじない),サービス,オリジナルグッズ / オリジナル制服 / チェキ、写真が撮れる / 指名が出来る / クーポン有り / 誕生日特典あり / ポイントカードあり,ホームページ,http://dracula-dansou.com/,公式Twitter,—,備考,—,クーポン,コンカフェナビ見たで「–」,内容,—,時給,—,採用条件,—,待遇,—,求人用連絡先,—
キュアメイドカフェ,http://concafenavi.com/curemaid/,店名,キュアメイドカフェ,ジャンル,メイドカフェ（コンセプトカフェ・コンカフェ）,TEL,"03-3258-3161
「コンカフェナビ」を見たと言うとスムーズです♪",住所,東京都千代田区外神田3-15-5　ジーストア・アキバ6F,交通手段,秋葉原駅から徒歩6分　徒歩ルート（Google map）,営業時間,"月曜～木曜
11：00～20：00
（ラストオーダー　FOOD19：00　DRINK19：30）
金曜・土曜
11：00～22：00
（ラストオーダー　FOOD21：00　DRINK21：30）
日曜・祝日
11：00～19：00
（ラストオーダー　FOOD18：00　DRINK18：30）
祝前日（日曜日以外）
11：00～22：00
（ラストオーダー　FOOD21：00　DRINK21：30）",定休日,"火曜日
（祝日の場合は翌日）",予算,—,支払い方法,"クレジットカード可
（JCB、AMEX、Diners）",席数,—,予約,予約可,貸切,可,団体利用,—,飲酒,可,禁煙・喫煙,分煙,駐車場,無し,Wifi・無線LAN,—,外国語メニュー,—,利用シーン,—,サービス,—,ホームページ,http://www.curemaid.jp/,公式Twitter,—,備考,—,クーポン,コンカフェナビ見たで「–」,内容,—,時給,—,採用条件,—,待遇,—,求人用連絡先,—
レイヤーズ,http://concafenavi.com/layer-s/,店名,レイヤーズ,ジャンル,アニソンカラオケバー（コンセプトバー）,TEL,"03-6907-3796
「コンカフェナビ」を見たと言うとスムーズです♪",住所,東京都豊島区東池袋1-15-8　フジプラザ2階15号,交通手段,池袋駅から徒歩2分　徒歩ルート（Google map）,営業時間,"【平日】18:00～23:30
【土曜、日曜】15:00～23:30",定休日,無し,予算,"初回料金　￥2,500（60分）
延長料金　￥1,000（30分）
女性料金　￥1,500（60分）
コスプレ貸出　￥0（女性のみ）
お酒
ウイスキー、焼酎が飲み放題☆
ソフトドリンク
ジュース、コーラ、ウーロン茶、ココア等が飲み放題☆",支払い方法,—,席数,—,予約,—,貸切,—,団体利用,—,飲酒,—,禁煙・喫煙,—,駐車場,—,Wifi・無線LAN,—,外国語メニュー,—,利用シーン,—,サービス,—,ホームページ,—,公式Twitter,—,備考,—,クーポン,コンカフェナビ見たで「–」,内容,—,時給,—,採用条件,—,待遇,—,求人用連絡先,—
シャッツキステ,http://concafenavi.com/schatz-kiste/,店名,シャッツキステ,ジャンル,私設図書館カフェ（コンセプトカフェ・コンカフェ）,TEL,電話番号は非公開とさせて頂いております。,住所,東京都千代田区外神田6-5-11　長谷川ビル１階,交通手段,"秋葉原駅から徒歩１０分　徒歩ルート（Google map）
末広町駅から徒歩２分　徒歩ルート（Google map）",営業時間,"12:00〜22:00
（ラストオーダー：21:30）",定休日,第一火曜日,予算,"３０min / ¥５００
* 紅茶（セイロンティー）をご自由にお飲み頂けます。
* wifi自由、 電源はお席によりご利用頂けます。
* お菓子やお食事を注文する事もできます。
（注文された場合は、上記の料金＋お食事代となります）",支払い方法,クレジットカード不可,席数,25席,予約,—,貸切,—,団体利用,—,飲酒,—,禁煙・喫煙,完全禁煙,駐車場,無し,Wifi・無線LAN,—,外国語メニュー,—,利用シーン,マッタリした雰囲気,サービス,—,ホームページ,https://www.schatz-kiste.net/,公式Twitter,—,備考,—,クーポン,コンカフェナビ見たで「–」,内容,—,時給,—,採用条件,—,待遇,—,求人用連絡先,—
